broker,source,title,summary,published,url,_sample_tone,clean_text,compound_score,sentiment_label
Utilitywise,Current News,Utilitywise to attend upcoming UK energy industry conference,,2026-04-16 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise to attend upcoming UK energy industry conference. ,0.2732,positive
Utilitywise,BBC Business,Utilitywise announces partnership to support small business energy switching,,2026-04-15 17:59:39+00:00,https://example.com/sample-article,positive,Utilitywise announces partnership to support small business energy switching. ,0.7184,positive
Utilitywise,Current News,Utilitywise expands into new regional markets with strong growth,,2026-05-29 17:59:39+00:00,https://example.com/sample-article,positive,Utilitywise expands into new regional markets with strong growth. ,0.8126,positive
Utilitywise,FT Energy,Analysts review Utilitywise's position in the business energy market,,2026-04-14 17:59:39+00:00,https://example.com/sample-article,neutral,Analysts review Utilitywise's position in the business energy market. ,0.2732,positive
Utilitywise,Current News,"Customers report being overcharged by Utilitywise, watchdog says",,2026-05-26 17:59:39+00:00,https://example.com/sample-article,negative,"Customers report being overcharged by Utilitywise, watchdog says. ",-0.6705,negative
Utilitywise,Current News,Utilitywise updates its broker fee disclosure policy,,2026-06-19 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise updates its broker fee disclosure policy. ,0.0,neutral
Utilitywise,BBC Business,"Customers report being overcharged by Utilitywise, watchdog says",,2026-05-27 17:59:39+00:00,https://example.com/sample-article,negative,"Customers report being overcharged by Utilitywise, watchdog says. ",-0.6705,negative
Utilitywise,FT Energy,Utilitywise updates its broker fee disclosure policy,,2026-06-29 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise updates its broker fee disclosure policy. ,0.0,neutral
Utilitywise,Utility Week,Utilitywise updates its broker fee disclosure policy,,2026-06-01 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise updates its broker fee disclosure policy. ,0.0,neutral
Utilitywise,Utility Week,Utilitywise comments on rising wholesale electricity prices,,2026-05-13 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise comments on rising wholesale electricity prices. ,0.0,neutral
Utilitywise,FT Energy,Utilitywise fined following regulatory breach in sales practices,,2026-06-09 17:59:39+00:00,https://example.com/sample-article,negative,Utilitywise fined following regulatory breach in sales practices. ,-0.7579,negative
Utilitywise,BBC Business,Utilitywise publishes quarterly market update for business customers,,2026-05-23 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise publishes quarterly market update for business customers. ,0.0,neutral
Utilitywise,FT Energy,Utilitywise named accredited broker under new Ofgem code of practice,,2026-04-08 17:59:39+00:00,https://example.com/sample-article,positive,Utilitywise named accredited broker under new Ofgem code of practice. ,0.4215,positive
Utilitywise,Utility Week,Utilitywise updates its broker fee disclosure policy,,2026-06-06 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise updates its broker fee disclosure policy. ,0.0,neutral
Utilitywise,Utility Week,Utilitywise publishes quarterly market update for business customers,,2026-05-29 17:59:39+00:00,https://example.com/sample-article,neutral,Utilitywise publishes quarterly market update for business customers. ,0.0,neutral
Utilitywise,Current News,Utilitywise wins customer service award for third year running,,2026-05-08 17:59:39+00:00,https://example.com/sample-article,positive,Utilitywise wins customer service award for third year running. ,0.7717,positive
Utilitywise,Utility Week,Complaints against Utilitywise rise sharply amid price volatility,,2026-04-08 17:59:39+00:00,https://example.com/sample-article,negative,Complaints against Utilitywise rise sharply amid price volatility. ,-0.3612,negative
Utilitywise,Current News,"Customers report being overcharged by Utilitywise, watchdog says",,2026-05-20 17:59:39+00:00,https://example.com/sample-article,negative,"Customers report being overcharged by Utilitywise, watchdog says. ",-0.6705,negative
Utilitywise,Current News,Utilitywise named accredited broker under new Ofgem code of practice,,2026-04-25 17:59:39+00:00,https://example.com/sample-article,positive,Utilitywise named accredited broker under new Ofgem code of practice. ,0.4215,positive
Utilitywise,BBC Business,Utilitywise praised by Trustpilot reviewers for transparent pricing,,2026-07-02 17:59:39+00:00,https://example.com/sample-article,positive,Utilitywise praised by Trustpilot reviewers for transparent pricing. ,0.6124,positive
