broker,source,title,summary,published,url,_sample_tone
Utilitywise,Current News,Utilitywise to attend upcoming UK energy industry conference,,2026-04-16T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,BBC Business,Utilitywise announces partnership to support small business energy switching,,2026-04-15T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,Current News,Utilitywise expands into new regional markets with strong growth,,2026-05-29T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,FT Energy,Analysts review Utilitywise's position in the business energy market,,2026-04-14T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,Current News,"Customers report being overcharged by Utilitywise, watchdog says",,2026-05-26T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,Current News,Utilitywise updates its broker fee disclosure policy,,2026-06-19T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,BBC Business,"Customers report being overcharged by Utilitywise, watchdog says",,2026-05-27T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,FT Energy,Utilitywise updates its broker fee disclosure policy,,2026-06-29T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,Utility Week,Utilitywise updates its broker fee disclosure policy,,2026-06-01T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,Utility Week,Utilitywise comments on rising wholesale electricity prices,,2026-05-13T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,FT Energy,Utilitywise fined following regulatory breach in sales practices,,2026-06-09T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,BBC Business,Utilitywise publishes quarterly market update for business customers,,2026-05-23T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,FT Energy,Utilitywise named accredited broker under new Ofgem code of practice,,2026-04-08T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,Utility Week,Utilitywise updates its broker fee disclosure policy,,2026-06-06T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,Utility Week,Utilitywise publishes quarterly market update for business customers,,2026-05-29T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,Current News,Utilitywise wins customer service award for third year running,,2026-05-08T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,Utility Week,Complaints against Utilitywise rise sharply amid price volatility,,2026-04-08T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,Current News,"Customers report being overcharged by Utilitywise, watchdog says",,2026-05-20T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,Current News,Utilitywise named accredited broker under new Ofgem code of practice,,2026-04-25T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,BBC Business,Utilitywise praised by Trustpilot reviewers for transparent pricing,,2026-07-02T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,Current News,Utilitywise praised by Trustpilot reviewers for transparent pricing,,2026-05-28T17:59:39Z,https://example.com/sample-article,positive
Utilitywise,FT Energy,Utilitywise publishes quarterly market update for business customers,,2026-05-01T17:59:39Z,https://example.com/sample-article,neutral
Utilitywise,Utility Week,Utilitywise fined following regulatory breach in sales practices,,2026-05-17T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,FT Energy,Utilitywise fined following regulatory breach in sales practices,,2026-05-09T17:59:39Z,https://example.com/sample-article,negative
Utilitywise,Utility Week,Utilitywise updates its broker fee disclosure policy,,2026-06-06T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,FT Energy,Love Energy Savings announces partnership to support small business energy switching,,2026-04-30T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,BBC Business,Love Energy Savings praised by Trustpilot reviewers for transparent pricing,,2026-05-12T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,BBC Business,Love Energy Savings expands into new regional markets with strong growth,,2026-06-21T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,BBC Business,Love Energy Savings to attend upcoming UK energy industry conference,,2026-06-10T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,FT Energy,Love Energy Savings announces partnership to support small business energy switching,,2026-05-27T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,BBC Business,Love Energy Savings comments on rising wholesale electricity prices,,2026-04-15T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,BBC Business,Love Energy Savings announces partnership to support small business energy switching,,2026-05-06T17:59:39Z,https://example.com/sample-article,positive
Love Energy Savings,Utility Week,Love Energy Savings to attend upcoming UK energy industry conference,,2026-06-17T17:59:39Z,https://example.com/sample-article,neutral
Love Energy Savings,BBC Business,Love Energy Savings announces partnership to support small business energy switching,,2026-04-09T17:59:39Z,https://example.com/sample-article,positive
